pdf_url,publish_date,source_url,stock_code,title
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/1ca6c0f6-4750-4684-a118-f28e8d42be9a.PDF,2026-06-05,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/1ca6c0f6-4750-4684-a118-f28e8d42be9a.PDF,002837,英维克：关于调整2022年和2024年股票期权激励计划行权价格及数量的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/6fae49f0-27f8-4da7-a8a5-fb1e4fedd090.PDF,2026-06-05,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/6fae49f0-27f8-4da7-a8a5-fb1e4fedd090.PDF,002837,英维克：第五届董事会薪酬和考核委员会关于调整公司2022年和2024年股票期权激励计划行权价格及数量的核查意见
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/b01ca576-903d-4ca2-9f60-ef03f0dc1ecc.PDF,2026-06-05,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/b01ca576-903d-4ca2-9f60-ef03f0dc1ecc.PDF,002837,英维克：广东信达关于公司2022年和2024年股票期权激励计划调整事项的法律意见书
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/a580fc70-3b6c-4fc3-912c-9fd48e2ba81f.PDF,2026-06-05,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/a580fc70-3b6c-4fc3-912c-9fd48e2ba81f.PDF,002837,英维克：关于为全资下属公司PT ENVICOOL TECHNOLOGY INDONESIA提供担保的进展公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/e30a8373-b2f6-45e6-837c-4f4d1bcd49bb.PDF,2026-06-05,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-06-05/e30a8373-b2f6-45e6-837c-4f4d1bcd49bb.PDF,002837,英维克：第五届董事会第四次会议决议公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-23/b0272da9-b1b3-42af-8cf8-aa4d018e0a54.PDF,2026-05-23,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-23/b0272da9-b1b3-42af-8cf8-aa4d018e0a54.PDF,002837,英维克：2025年年度权益分派实施公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-22/0dc0b753-19b9-4788-8711-8f312f75fc28.PDF,2026-05-22,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-22/0dc0b753-19b9-4788-8711-8f312f75fc28.PDF,002837,英维克：关于完成工商变更登记的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-13/07aeb124-9039-4023-8ea1-60ab39244fc4.PDF,2026-05-13,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-13/07aeb124-9039-4023-8ea1-60ab39244fc4.PDF,002837,英维克：2025年度股东会决议公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-13/e14e5d9b-7829-4cb3-bcb3-f77744c6686e.PDF,2026-05-13,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-05-13/e14e5d9b-7829-4cb3-bcb3-f77744c6686e.PDF,002837,英维克：广东信达关于公司2025年度股东会的法律意见书
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-25/0a82ae9c-f5a4-42cd-bff3-bcc5fcac8ab1.PDF,2026-04-25,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-25/0a82ae9c-f5a4-42cd-bff3-bcc5fcac8ab1.PDF,002837,英维克：关于部分股票期权注销完成的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-24/1dc883c2-3eaf-455e-b322-cb28a63d6eb6.PDF,2026-04-24,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-24/1dc883c2-3eaf-455e-b322-cb28a63d6eb6.PDF,002837,英维克：关于2024年股票期权激励计划第二个行权期采用自主行权模式的提示性公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/82c018f0-b38a-4c60-b45f-5b7b364822b8.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/82c018f0-b38a-4c60-b45f-5b7b364822b8.PDF,002837,英维克：关于会计师事务所履职情况评估报告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/63203201-c9fa-4e1c-b98f-d5743a053c07.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/63203201-c9fa-4e1c-b98f-d5743a053c07.PDF,002837,英维克：2025年度独立董事述职报告（田志伟）
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/f25e5c14-b35b-4700-9dc5-46d6e24a06cc.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/f25e5c14-b35b-4700-9dc5-46d6e24a06cc.PDF,002837,英维克：2025年度内部控制自我评价报告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/e821a77b-acb6-42fb-b3f7-9248e15ec18e.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/e821a77b-acb6-42fb-b3f7-9248e15ec18e.PDF,002837,英维克：2026年度董事、高级管理人员薪酬方案
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/673daea6-1872-4645-b725-c2ececa0bef6.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/673daea6-1872-4645-b725-c2ececa0bef6.PDF,002837,英维克：关于独立董事2025年度独立性情况的专项意见
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/a5bd5ba2-1b75-444b-88ee-5b31a2c47a2c.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/a5bd5ba2-1b75-444b-88ee-5b31a2c47a2c.PDF,002837,英维克：关于举行2025年度网上业绩说明会的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/88eb0e5c-a44d-4113-9a85-641d8f8f1716.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/88eb0e5c-a44d-4113-9a85-641d8f8f1716.PDF,002837,英维克：2025年年度审计报告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/90e9f99d-4cb8-489f-80f9-3411aabd9714.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/90e9f99d-4cb8-489f-80f9-3411aabd9714.PDF,002837,英维克：关于2024年股票期权激励计划第二个行权期行权条件达成的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/823ee941-8563-43f2-b1d1-2f949bc81f79.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/823ee941-8563-43f2-b1d1-2f949bc81f79.PDF,002837,英维克：关于2025年度计提资产减值准备的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/3808761c-07f6-4fea-bb4b-e9863a4fa5d6.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/3808761c-07f6-4fea-bb4b-e9863a4fa5d6.PDF,002837,英维克：2025年度独立董事述职报告（陈麒百）
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/3f3bebbc-c32b-4012-8324-8e6a18677102.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/3f3bebbc-c32b-4012-8324-8e6a18677102.PDF,002837,英维克：2025年度内部控制审计报告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/67528ae9-31d6-45f1-be8f-1cf14c49c878.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/67528ae9-31d6-45f1-be8f-1cf14c49c878.PDF,002837,英维克：关于公司及下属公司拟向金融机构申请授信额度的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/72b87d6b-cdb7-48a7-b3bf-67d0ca64f74d.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/72b87d6b-cdb7-48a7-b3bf-67d0ca64f74d.PDF,002837,英维克：2025年度非经营性资金占用及其他关联资金往来情况汇总表
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/a893b8d2-c998-40a4-ae37-50e8d2899634.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/a893b8d2-c998-40a4-ae37-50e8d2899634.PDF,002837,英维克：关于召开2025年度股东会的通知
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/351d8748-0718-4e1d-8f6e-17320c6b86cc.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/351d8748-0718-4e1d-8f6e-17320c6b86cc.PDF,002837,英维克：章程修订对照表（2026年4月）
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/d42e1d89-bea4-472b-8ad0-87e33b8d3bb8.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/d42e1d89-bea4-472b-8ad0-87e33b8d3bb8.PDF,002837,英维克：关于使用闲置自有资金进行现金管理的公告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/0f8fcf0d-8bb2-4417-a154-8fc52972e1a9.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/0f8fcf0d-8bb2-4417-a154-8fc52972e1a9.PDF,002837,英维克：2025年年度报告摘要
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/c5cb0568-e14d-45ed-94a9-c0b2685188c9.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/c5cb0568-e14d-45ed-94a9-c0b2685188c9.PDF,002837,英维克：2025年度董事会工作报告
https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/96e550b6-a2ef-43ca-aa93-7182bca87d1b.PDF,2026-04-21,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-21/96e550b6-a2ef-43ca-aa93-7182bca87d1b.PDF,002837,英维克：关于为下属公司提供担保额度预计的公告
