issue_id,severity,stage,target_artifact,description,fix_owner_skill,status,created_at,resolved_at,notes
Q002837-001,high,T1 Company Evidence,evidence_manifest_delta.csv,Annual report locator missing,evidence-ingest,fixed,2026-07-03,2026-07-03,page_map/parse_log/claim locators generated
Q002837-002,high,T6 Exposure Mapping,segment_exposure.yaml,Segment exposure unsupported,segment-company-mapping,fixed,2026-07-03,2026-07-03,product exposure supported by reviewed claims; revenue/profit exposure remains MISSING
Q002837-003,medium,T2 Business & Financial Skeleton,metrics_draft_delta.csv,Metric candidates remained draft,evidence-ingest,fixed,2026-07-03,2026-07-03,262 workflow-local metrics promoted
Q002837-004,medium,T7 Stock Report Draft,stock_report_draft.md,Skeletal report draft,stock-deep-dive,fixed,2026-07-03,2026-07-03,stock_report_sample_quality_draft.md generated
Q002837-005,low,T8 Backflow,exposure_change_note.md,Backflow decision incomplete,maintenance,fixed,2026-07-03,2026-07-03,backflow_decision.yaml explicit
GAP002837-001,low,T10 Maintenance,evidence_gap_requests.yaml,Liquid cooling revenue pct and gross margin remain missing,evidence-ingest,accepted_todo,2026-07-03,,"2024 approximate liquid-cooling-related revenue is a B-class management comment; 2025 revenue, numeric margin, orders and project cash collection remain MISSING."
ENV002837-001,low,T2 Parser,data/processed/logs/ev_annual_report_002837_20260421_ce7f64_parse_log.json,MinerU CLI returned non-zero during client-side output generation,evidence-ingest,accepted_todo,2026-07-03,,pypdf fallback produced complete locator outputs
P2-BLOCK-001,medium,R4 official reconciliation review,official_reconciliation_review_decision.csv,Official reconciliation mismatch rows reviewed with no structured promotion.,quality-review,resolved_review_completed,2026-07-03,2026-07-03,"All mismatch, official_missing and structured_missing rows have review decisions."
P2-BLOCK-002,medium,R4 liquid cooling exposure review,liquid_cooling_exposure_evidence_review.csv,Liquid-cooling revenue and profit disclosure remain missing but visible.,evidence-ingest,accepted_disclosure_todo,2026-07-03,,"2024 approximate liquid-cooling-related revenue is a B-class management comment; 2025 revenue, numeric margin, orders and project cash collection remain MISSING."
P2-BLOCK-003,medium,R4 segment-stock backflow review,exposure_backflow_review.yaml,Product exposure note/evidence can update global registry without revenue or profit promotion.,segment-company-mapping,resolved_product_only_update,2026-07-03,2026-07-03,Global exposure and company universe keep revenue_pct/profit_pct missing.
P2-BLOCK-004,low,Manual live smoke,docs/playbooks/MANUAL_LIVE_DATA_SMOKE_PLAYBOOK.md,Manual live smoke remains optional and was not executed in this run.,evidence-ingest,resolved_live_smoke_completed,2026-07-03,2026-07-13,Live acquisition completed across multiple independent interfaces.
R5Q-B7-A823A644,medium,T8_report_draft,reader_report.md,han_chars=2334; required=3200,memo-writer,resolved_bundle10_reader_density,2026-07-12,2026-07-13,Reader v3 passed the density and section-analysis gate.
R5Q-B7-0BF5FA3E,medium,T5_analysis_pack_build,thesis_tree.yaml,complete=0; required=7; complete_sections=,stock-deep-dive,resolved_bundle8_analysis_pack,2026-07-12,2026-07-13,Bundle 8 analysis pack has 7/7 complete units.
R5Q-B7-44F6297D,medium,T2_evidence_acquire_parse,evidence_coverage_matrix.yaml,independent_sources=1; required=2,evidence-ingest,resolved_bundle8_evidence_diversity,2026-07-12,2026-07-13,Independent source coverage is now above the minimum.
R5Q-B7-8E0E9760,medium,T5_analysis_pack_build,industry_evidence_pack.yaml,no independent industry underlying source,segment-research,resolved_bundle8_industry_inputs,2026-07-12,2026-07-13,Independent industry and policy inputs are present.
R5Q-B7-E54AC257,medium,T2_evidence_acquire_parse,evidence_coverage_matrix.yaml,no peer evidence source and fewer than three credible peers,evidence-ingest,resolved_bundle8_peer_inputs,2026-07-12,2026-07-13,Four peer entities have same-period operating inputs and official scope anchors.
R5Q-B7-EDEA2DF6,medium,T6_forecast_valuation_model,segment_forecast_model.yaml,forecast drivers remain company-total/mechanical,stock-deep-dive,resolved_bundle9_bottom_up_forecast,2026-07-12,2026-07-13,Bundle 9 now uses audited broad business-line drivers.
R5Q-B7-FC4A9CE0,medium,T6_forecast_valuation_model,segment_forecast_model.yaml,tax/finance/other/minority are not separately modeled,stock-deep-dive,resolved_bundle9_explicit_profit_bridge,2026-07-12,2026-07-13,"Expenses, tax, minority profit and cash flow are separately bridged."
R5Q-B7-5F606C21,medium,RP6_valuation,reverse_valuation.yaml,no reverse valuation or bull/base/bear value range,company-valuation,resolved_bundle9_reverse_scenario_valuation,2026-07-12,2026-07-13,Reverse valuation and scenario market-cap ranges are present.
R5Q-B7-47122D56,medium,RP6_valuation,reverse_valuation.yaml,credible_peers=0,company-valuation,resolved_bundle10_reviewed_peer_context,2026-07-12,2026-07-13,Four dated peer inputs reached the Reader gate with visible comparability limits.
R5Q-B7-0B636DD2,medium,T7_technical_sentiment_event_pack,technical_snapshot.yaml,no reviewed technical-series analysis in reader report,stock-deep-dive,resolved_bundle8_technical_inputs,2026-07-12,2026-07-13,Dated 250-day technical inputs are present.
R5Q-B7-E0B818E7,medium,T7_technical_sentiment_event_pack,technical_snapshot.yaml,no macro/industry/company sentiment layers,stock-deep-dive,resolved_bundle10_sentiment_layers,2026-07-12,2026-07-13,"Macro, industry and company sentiment layers are present with uncertainty."
R5Q-B7-9A50BA49,medium,T7_technical_sentiment_event_pack,technical_snapshot.yaml,"future date, impact path, verification metric and counterevidence condition are not all present",stock-deep-dive,resolved_bundle10_future_event_chain,2026-07-12,2026-07-13,"Future date, impact path, verification metrics and counterevidence conditions are present."
R5B8B-G3-001,medium,T9_bundle8b_close_quality_review,liquid_cooling_disclosure_gap_register.yaml,2024年液冷相关收入仅有约3亿元管理层近似口径且2025收入毛利客户订单及项目回款仍未披露,evidence-ingest,accepted_todo,2026-07-13,,Bundle9仅将3亿元作为B类锚点并对其余字段保留情景假设或MISSING
R5B8B-G8-001,medium,T9_bundle8b_close_quality_review,market_event_pack.yaml,2026H1计划披露日尚未由发行人公告确认且最新分析师样本仅两家不能称为稳健一致预期,evidence-ingest,accepted_todo,2026-07-13,,公告发布后核对日期并在使用前复核EPS股本口径
R5B8B-QR-SCHEMA-001,medium,T9_bundle8b_close_quality_review,schema_drift_issue_list.csv,Baostock财务字段code pubDate statDate尚未完成reviewed映射因此只能作为draft fallback,evidence-ingest,accepted_todo,2026-07-13,,新增明确字段映射和官方对账后才能promotion
R5B8B-QR-PEER-001,medium,T9_bundle8b_close_quality_review,peer_operating_evidence_pack.yaml,五家公司同期间同供应商指标可比但业务组合和液冷收入纯度不可比,company-valuation,accepted_todo,2026-07-13,,"Four same-date peers exist, but forward multiples, official numeric reconciliation and liquid-cooling purity remain insufficient."
R5B8B-QR-PROXY-001,low,T9_bundle8b_close_quality_review,source_health_ledger.yaml,东方财富reportapi可经代理抓取但push2经代理失败且仅直连探测成功,evidence-ingest,accepted_todo,2026-07-13,,实现push2 fixture和live smoke前保持degraded且不写入报告
R5B8B-QR-IR004-001,low,T9_bundle8b_close_quality_review,live_acquisition_run_log.yaml,未确认2025-004巨潮直链且未用第三方转载冒充官方原件,evidence-ingest,accepted_todo,2026-07-13,,后续从巨潮或深交所确认原件后再归档
R5B8B-QR-CI-001,low,T9_bundle8b_close_quality_review,bundle8_close_quality_report.md,本地全仓库测试通过但未提交未推送所以没有对应远端CI结果,research-orchestrator,accepted_todo,2026-07-13,,仅在用户明确要求发布后提交推送并核验远端CI
R5B9-G3-001,medium,T9_bundle9_quality_review,segment_forecast_model.yaml,模型使用审计宽口径业务线但液冷独立收入毛利和利润仍未披露,evidence-ingest,accepted_todo,2026-07-13,,维持宽口径建模并在发行人同口径披露后刷新
R5B9-G6-001,medium,T9_bundle9_quality_review,R5_bundle9_valuation_pack.yaml,静态动态同业情景与反向估值已生成但同业远期倍数企业价值折现输入及分部经济性仍缺失,company-valuation,accepted_todo,2026-07-13,,保留partial状态并按valuation_gap_requests逐项补齐
R5B9-G8-001,medium,T9_bundle9_quality_review,analyst_forecast_comparison.csv,仅两家机构样本按analyst_view呈现且股本口径未独立核验不能称为稳健一致预期,stock-deep-dive,accepted_todo,2026-07-13,,Bundle10按技术情绪事件分层并继续保留样本限制
R5B9-QR-VAL-PEER-001,medium,T9_bundle9_quality_review,R5_bundle9_peer_reconciliation.yaml,四家同日同源市场倍数可解析但业务组合液冷纯度及官方数值逐项对账仍不足,company-valuation,accepted_todo,2026-07-13,,保留LOW_CONFIDENCE_PEER_SET且禁止形成确定排名
R5B9-QR-VAL-DCF-001,medium,T9_bundle9_quality_review,R5_bundle9_valuation_pack.yaml,虽有现金流桥但缺少审阅后的折现率终值增速和净负债因此DCF不满足方法门,company-valuation,accepted_todo,2026-07-13,,输入未齐前保持TODO并禁止伪精确输出
R5B9-QR-VAL-SOTP-001,medium,T9_bundle9_quality_review,R5_bundle9_valuation_pack.yaml,液冷独立收入利润未披露且未分配成本不可得因此SOTP不满足方法门,company-valuation,accepted_todo,2026-07-13,,取得同口径分部经济性后再评估方法资格
R5B9-QR-CI-001,low,T9_bundle9_quality_review,bundle9_quality_report.md,本地验证可以完成但未获发布授权因此不声明远端CI结果,research-orchestrator,accepted_todo,2026-07-13,,仅在用户明确要求发布后提交推送并核验远端CI
R5B10-G3-001,medium,T9_bundle10_quality_review,R5_bundle10_reader_pack.yaml,Reader明确区分宽口径温控与液冷产品暴露但液冷独立收入毛利利润订单及项目回款仍未披露,evidence-ingest,accepted_todo,2026-07-13,,同定义发行人披露出现后刷新业务和估值模型
R5B10-G6-001,medium,T9_bundle10_quality_review,R5_bundle10_reader_gate_valuation.yaml,动态同业反向与情景估值已呈现且口径受控但DCF和SOTP仍因输入不足停用,company-valuation,accepted_todo,2026-07-13,,补齐净负债折现终值与液冷分部经济性后再评估方法资格
R5B10-G8-001,medium,T9_bundle10_quality_review,R5_bundle10_sentiment_event_pack.yaml,宏观行业公司情绪分层与未来事件链已进入Reader但宏观同日指标缺失计划日期待官方确认且机构样本仅两家,stock-deep-dive,accepted_todo,2026-07-13,,官方公告或更稳健同口径样本出现后刷新
R5B10-G11-001,medium,T9_bundle10_quality_review,R5_stock_research_report_reader_v3_human_review.yaml,自动门达到97分且零blocker但外部人工签署仍为pending因此样例质量与P2许可保持false,quality-review,resolved_external_human_review,2026-07-13,2026-07-13T14:07:11+08:00,External human review passed for the exact Reader SHA256.
R5B10-QR-HUMAN-001,medium,T9_bundle10_quality_review,R5_stock_research_report_reader_v3_human_review.yaml,AI语义预审只证明可交付外部审查且未生成外部审查者身份时间或通过结论,quality-review,resolved_external_human_review,2026-07-13,2026-07-13T14:07:11+08:00,External human review passed for the exact Reader SHA256.
R5B10-QR-CI-001,low,T9_bundle10_quality_review,bundle10_quality_report.md,本地回归可完成但未获发布授权因此不声明远端CI结果,research-orchestrator,accepted_todo,2026-07-13,,仅在用户明确要求发布后提交推送并核验远端CI
R5B9R-DISC-001,medium,R5_bundle9r_close,R5_bundle9r_segment_driver_model.yaml,发行人尚未单独披露液冷收入毛利项目现金与宽口径分部消除关系,evidence-ingest,accepted_todo,2026-07-13,,后续出现同口径发行人披露时刷新并保持当前分析视图不加总
R5B9R-DRIVER-001,medium,R5_bundle9r_close,R5_bundle9r_segment_driver_model.yaml,项目数量容量单价验收节奏到收入的转换参数仍未形成可审阅数据链,stock-deep-dive,accepted_todo,2026-07-13,,补齐驱动转换证据前继续使用显式宽口径增长代理并保留低中置信度
R5B9R-PEER-001,medium,R5_bundle9r_close,R5_bundle9r_peer_operating_reconciliation.yaml,四家同业的液冷纯度与官方经营科目仍不足以支持确定排名,company-valuation,accepted_todo,2026-07-13,,维持LOW_CONFIDENCE_PEER_SET且ranking_allowed=false
R5B9R-DCF-001,medium,R5_bundle9r_close,R5_bundle9r_model_pack.yaml,净债务折现率与终值假设未完成审阅因此DCF不满足方法门,company-valuation,accepted_todo,2026-07-13,,补齐全部可追溯输入后重新执行方法资格检查
R5B9R-SOTP-001,medium,R5_bundle9r_close,R5_bundle9r_model_pack.yaml,独立液冷经济性与未分配成本缺失因此SOTP不满足方法门,company-valuation,accepted_todo,2026-07-13,,获得可审阅分部经济性和消除关系后重新执行方法资格检查
R5B10R-DCF-001,medium,R5_bundle10r_8_close,R5_bundle10r_reader_input_pack.yaml,"净债务、折现率与终值假设仍未形成完整可审阅输入，DCF保持不可用",company-valuation,accepted_todo,2026-07-13,,补齐全部可追溯输入后重新执行方法资格检查
R5B10R-SOTP-001,medium,R5_bundle10r_8_close,R5_bundle10r_reader_input_pack.yaml,"液冷独立经济性、未分配成本与消除关系仍缺失，SOTP保持不可用",company-valuation,accepted_todo,2026-07-13,,取得同口径分部经济性与消除关系后重新执行方法资格检查
R5B10R-HUMAN-001,medium,R5_bundle10r_8_close,R5_bundle10r_human_review_handoff.yaml,"Reader v4收到叙事范围revision_required；用户未声明完成全篇与追溯附录审阅",quality-review,resolved_revision_required,2026-07-13,2026-07-14,该送审轮次关闭并由Reader v5精确哈希审阅替代
R5B10R-CI-001,low,R5_bundle10r_8_close,R5_bundle10r_quality_gate_report.md,Bundle 10R Reader v5分支已推送且远端CI通过,research-orchestrator,resolved_remote_ci_pass,2026-07-13,2026-07-14,commit 3bc55a61；GitHub Actions run 29270619352 success
R5B10R-NARRATIVE-001,high,T9_quality_review,R5_bundle10r_reader_v5.md,Reader v5已形成六章研究叙事并通过新增反机械化非补偿质量门,stock-deep-dive,resolved,2026-07-14,2026-07-14,自动检查100分且模板重复流程术语近重复段落和过薄章节均为0
R5B10R-V5-HUMAN-001,medium,R5_bundle10r_v5_close,R5_bundle10r_human_review_handoff_v5.yaml,Reader v5精确哈希人工复审已完成并通过8项清单,quality-review,resolved_human_review_passed,2026-07-14,2026-07-14T15:20:38+08:00,本轮pending由独立submission关闭；sample quality与P2仍为false
R5B10R-V5-HUMAN-FAIL-001,high,T9_quality_review,R5_bundle10r_reader_v5.md,Reader v5前次精确哈希人工审阅不通过且未给出章节或段落级意见,quality-review,resolved_human_review_passed,2026-07-14,2026-07-14T15:20:38+08:00,同一锁定Reader的独立复审已8项通过；失败记录保留且无需启动v6
